estado,Grande,Ano,Estoque
AL,Serviços,2012,118404
AM,Adm Publica,2012,181039
AM,Agricultura,2012,3112
AM,Comercio,2012,89341
AM,Industria,2012,170418
AM,Serviços,2012,171508
AP,Adm Publica,2012,50330
AP,Agricultura,2012,959
AP,Comercio,2012,24482
AP,Industria,2012,13885
AP,Serviços,2012,32890
BA,Adm Publica,2012,576218
BA,Agricultura,2012,95863
BA,Comercio,2012,424822
BA,Industria,2012,433579
BA,Serviços,2012,726139
CE,Adm Publica,2012,376781
CE,Agricultura,2012,24716
CE,Comercio,2012,243499
CE,Industria,2012,348913
CE,Serviços,2012,429739
DF,Adm Publica,2012,428707
DF,Agricultura,2012,7171
DF,Comercio,2012,172586
DF,Industria,2012,123181
DF,Serviços,2012,450004
ES,Adm Publica,2012,168057
ES,Agricultura,2012,31922
ES,Comercio,2012,195069
ES,Industria,2012,210100
ES,Serviços,2012,321188
GO,Adm Publica,2012,320624
GO,Agricultura,2012,86624
GO,Comercio,2012,289297
GO,Industria,2012,349160
GO,Serviços,2012,404360
MA,Adm Publica,2012,257740
MA,Agricultura,2012,25448
MA,Comercio,2012,135569
MA,Industria,2012,106229
MA,Serviços,2012,171653
MG,Adm Publica,2012,848361
MG,Agricultura,2012,262777
MG,Comercio,2012,957875
MG,Industria,2012,1284585
MG,Serviços,2012,1574627
MS,Adm Publica,2012,121393
MS,Agricultura,2012,66156
MS,Comercio,2012,120002
MS,Industria,2012,132198
MS,Serviços,2012,177444
MT,Adm Publica,2012,142621
MT,Agricultura,2012,99356
MT,Comercio,2012,177412
MT,Industria,2012,152013
MT,Serviços,2012,173156
PA,Adm Publica,2012,336442
PA,Agricultura,2012,53159
PA,Comercio,2012,203016
PA,Industria,2012,204452
PA,Serviços,2012,255685
PB,Adm Publica,2012,244729
PB,Agricultura,2012,12321
PB,Comercio,2012,94827
PB,Industria,2012,134397
PB,Serviços,2012,141118
PE,Adm Publica,2012,385054
PE,Agricultura,2012,43242
PE,Comercio,2012,309817
PE,Industria,2012,399316
PE,Serviços,2012,557218
PI,Adm Publica,2012,149885
PI,Agricultura,2012,9065
PI,Comercio,2012,80448
PI,Industria,2012,68209
PI,Serviços,2012,110482
PR,Adm Publica,2012,482822
PR,Agricultura,2012,104735
PR,Comercio,2012,642074
PR,Industria,2012,851010
PR,Serviços,2012,953024
RJ,Adm Publica,2012,776009
RJ,Agricultura,2012,21821
RJ,Comercio,2012,841275
RJ,Industria,2012,827421
RJ,Serviços,2012,1995180
RN,Adm Publica,2012,181185
RN,Agricultura,2012,14709
RN,Comercio,2012,113058
RN,Industria,2012,129093
RN,Serviços,2012,164836
RO,Adm Publica,2012,117497
RO,Agricultura,2012,11358
RO,Comercio,2012,80799
RO,Industria,2012,82936
RO,Serviços,2012,72552
RR,Adm Publica,2012,47744
RR,Agricultura,2012,1235
RR,Comercio,2012,15494
RR,Industria,2012,8498
RR,Serviços,2012,20806
RS,Adm Publica,2012,453125
RS,Agricultura,2012,82064
RS,Comercio,2012,609529
RS,Industria,2012,896713
RS,Serviços,2012,951600
SC,Adm Publica,2012,242796
SC,Agricultura,2012,42868
SC,Comercio,2012,423461
SC,Industria,2012,761657
SC,Serviços,2012,632220
SE,Adm Publica,2012,113123
SE,Agricultura,2012,13070
SE,Comercio,2012,63154
SE,Industria,2012,85858
SE,Serviços,2012,113134
SP,Adm Publica,2012,1682398
SP,Agricultura,2012,350444
SP,Comercio,2012,2681646
SP,Industria,2012,3518964
SP,Serviços,2012,5550089
TO,Adm Publica,2012,101400
TO,Agricultura,2012,16987
TO,Comercio,2012,46208
TO,Industria,2012,32792
TO,Serviços,2012,48973
AC,Adm Publica,2013,54334
AC,Agricultura,2013,3272
AC,Comercio,2013,24023
AC,Industria,2013,16066
AC,Serviços,2013,32628
AL,Adm Publica,2013,156125
AL,Agricultura,2013,9519
AL,Comercio,2013,89048
AL,Industria,2013,131807
AL,Serviços,2013,122811
AM,Adm Publica,2013,190490
AM,Agricultura,2013,3490
AM,Comercio,2013,96378
AM,Industria,2013,180408
AM,Serviços,2013,172554
AP,Adm Publica,2013,49957
AP,Agricultura,2013,1016
AP,Comercio,2013,26095
AP,Industria,2013,15310
AP,Serviços,2013,33933
BA,Adm Publica,2013,588171
BA,Agricultura,2013,94510
BA,Comercio,2013,442796
BA,Industria,2013,444174
BA,Serviços,2013,745256
CE,Adm Publica,2013,397264
CE,Agricultura,2013,25637
CE,Comercio,2013,257609
CE,Industria,2013,362358
CE,Serviços,2013,453055
DF,Adm Publica,2013,500147
DF,Agricultura,2013,7824
DF,Comercio,2013,175966
DF,Industria,2013,120896
DF,Serviços,2013,497451
ES,Adm Publica,2013,178805
ES,Agricultura,2013,33859
ES,Comercio,2013,201648
ES,Industria,2013,206837
ES,Serviços,2013,333642
GO,Adm Publica,2013,350983
GO,Agricultura,2013,89666
GO,Comercio,2013,291494
GO,Industria,2013,355746
GO,Serviços,2013,421506
MA,Adm Publica,2013,265154
MA,Agricultura,2013,22848
MA,Comercio,2013,142121
MA,Industria,2013,108311
MA,Serviços,2013,183356
MG,Adm Publica,2013,900407
MG,Agricultura,2013,269119
MG,Comercio,2013,989217
MG,Industria,2013,1292894
MG,Serviços,2013,1605443
MS,Adm Publica,2013,127172
MS,Agricultura,2013,67359
MS,Comercio,2013,125550
MS,Industria,2013,139942
MS,Serviços,2013,175602
MT,Adm Publica,2013,149267
MT,Agricultura,2013,100749
MT,Comercio,2013,189425
MT,Industria,2013,166229
MT,Serviços,2013,187198
PA,Adm Publica,2013,377631
PA,Agricultura,2013,53537
PA,Comercio,2013,211917
PA,Industria,2013,219282
PA,Serviços,2013,263589
PB,Adm Publica,2013,256773
PB,Agricultura,2013,13628
PB,Comercio,2013,99900
PB,Industria,2013,137693
PB,Serviços,2013,150647
PE,Adm Publica,2013,410656
PE,Agricultura,2013,44307
PE,Comercio,2013,311086
PE,Industria,2013,406637
PE,Serviços,2013,585796
PI,Adm Publica,2013,160163
PI,Agricultura,2013,8989
PI,Comercio,2013,84413
PI,Industria,2013,72651
PI,Serviços,2013,117605
PR,Adm Publica,2013,473149
PR,Agricultura,2013,106100
PR,Comercio,2013,665547
PR,Industria,2013,881244
PR,Serviços,2013,995344
RJ,Adm Publica,2013,801909
RJ,Agricultura,2013,22107
RJ,Comercio,2013,867915
RJ,Industria,2013,842239
RJ,Serviços,2013,2052620
RN,Adm Publica,2013,184618
RN,Agricultura,2013,15207
RN,Comercio,2013,117148
RN,Industria,2013,127980
RN,Serviços,2013,173293
RO,Adm Publica,2013,119292
RO,Agricultura,2013,11931
RO,Comercio,2013,83409
RO,Industria,2013,77490
RO,Serviços,2013,75523
RR,Adm Publica,2013,46304
RR,Agricultura,2013,1413
RR,Comercio,2013,16441
RR,Industria,2013,7791
RR,Serviços,2013,20208
RS,Adm Publica,2013,470007
RS,Agricultura,2013,83758
RS,Comercio,2013,624923
RS,Industria,2013,919529
RS,Serviços,2013,984596
SC,Adm Publica,2013,256376
SC,Agricultura,2013,44459
SC,Comercio,2013,439898
SC,Industria,2013,805415
SC,Serviços,2013,664779
SE,Adm Publica,2013,117062
SE,Agricultura,2013,12325
SE,Comercio,2013,65010
SE,Industria,2013,88691
SE,Serviços,2013,122502
SP,Adm Publica,2013,1705685
SP,Agricultura,2013,334824
SP,Comercio,2013,2743141
SP,Industria,2013,3573436
SP,Serviços,2013,5667254
TO,Adm Publica,2013,107780
TO,Agricultura,2013,18013
TO,Comercio,2013,47539
TO,Industria,2013,34065
TO,Serviços,2013,50139
AC,Adm Publica,2014,53634
AC,Agricultura,2014,3535
AC,Comercio,2014,25091
AC,Industria,2014,16303
AC,Serviços,2014,35875
AL,Adm Publica,2014,157566
AL,Agricultura,2014,8866
AL,Comercio,2014,91547
AL,Industria,2014,122546
AL,Serviços,2014,134051
AM,Adm Publica,2014,191940
AM,Agricultura,2014,3384
AM,Comercio,2014,100797
AM,Industria,2014,163913
AM,Serviços,2014,181609
AP,Adm Publica,2014,55004
AP,Agricultura,2014,1003
AP,Comercio,2014,27863
AP,Industria,2014,15876
AP,Serviços,2014,32994
BA,Adm Publica,2014,603006
BA,Agricultura,2014,94181
BA,Comercio,2014,459125
BA,Industria,2014,431511
BA,Serviços,2014,784760
CE,Adm Publica,2014,394144
CE,Agricultura,2014,26553
CE,Comercio,2014,271918
CE,Industria,2014,374821
